지형지물부호,관리번호,도로구간번호,관리기관,행정구역,연장,면적,폭원,데이터기준일자
차도포장,403,1745,광주시,경안동,9,7,0.7,2019-12-25
차도포장,402,120629,광주시,오포읍,592,975.07,2.14,2019-12-25
차도포장,401,315,광주시,경안동,8.5,74.9,0.7,2019-12-25
차도포장,400,160408,광주시,광남동,48.43,82.12,2.1,2019-12-25
차도포장,399,120768,광주시,오포읍,135.1,135.37,0.7,2019-12-25
차도포장,398,1072,광주시,송정동,78,54.6,0.7,2019-12-25
차도포장,397,121171,광주시,오포읍,0.3,"1,822.00",0.7,2019-12-25
차도포장,396,1152,광주시,경안동,7,4.9,0.7,2019-12-25
차도포장,395,1404,광주시,경안동,18,12.6,0.7,2019-12-25
차도포장,394,26,광주시,경안동,11,7.7,0.7,2019-12-25
차도포장,393,140647,광주시,송정동,204,163,0.8,2019-12-25
차도포장,392,315,광주시,경안동,22,15,0.7,2019-12-25
차도포장,391,1011,광주시,경안동,4,2.8,0.7,2019-12-25
차도포장,390,123297,광주시,초월읍,452.3,4.2,1,2019-12-25
차도포장,389,122862,광주시,초월읍,39.5,27,0.7,2019-12-25
차도포장,388,1650,광주시,경안동,6,2.8,0.7,2019-12-25
차도포장,384,2778,광주시,오포읍,370.64,"3,244.55",7.96,2019-12-25
